YEAR,WIN_PCT,FGA,FG_PCT,FG3A,FG3_PCT,FT_PCT,REB,AST,PF,STL,BLK,PTS
1948-49,0.367,0,0,0,0,0.636,0,16.95,23.03333333333333,0,0,74.28333333333333
1949-50,0.324,0,0,0,0,0.7,0,16.794117647058822,23.308823529411764,0,0,73.27941176470588
1950-51,0.368,0,0,0,0,0.714,0,16.794117647058822,22.558823529411764,0,0,82.82352941176471
1951-52,0.258,0,0,0,0,0.682,0,18.62121212121212,26.272727272727277,0,0,73.22727272727273
1952-53,0.174,0,0,0,0,0.679,0,19.3,26.91549295774648,0,0,75.90140845070422
1953-54,0.292,0,0,0,0,0.684,0,18.02777777777778,23.18055555555556,0,0,69.97222222222223
1954-55,0.361,0,0,0,0,0.717,0,20.38888888888889,22.041666666666668,0,0,87.375
1955-56,0.431,0,0,0,0,0.7,0,22.36111111111111,24.76388888888889,0,0,94.36111111111111
1956-57,0.431,0,0,0,0,0.707,0,16.59722222222222,22.819444444444443,0,0,93.44444444444444
1957-58,0.264,0,0,0,0,0.712,0,17.555555555555557,23.93055555555556,0,0,101.69444444444444
1958-59,0.264,0,0,0,0,0.721,0,18.291666666666668,24.569444444444443,0,0,103.06944444444444
1959-60,0.253,0,0,0,0,0.669,0,19.25333333333333,22.866666666666667,0,0,107.26666666666668
1960-61,0.266,0,0,0,0,0.651,0,21.873417721518987,24.50632911392405,0,0,113.65822784810126
1961-62,0.225,0,0,0,0,0.673,0,21.5375,23.8625,0,0,110.925
1962-63,0.263,0,0,0,0,0.669,0,20.725,22.1875,0,0,109.575
1963-64,0.275,0,0,0,0,0.638,0,17.7875,24.725,0,0,107.675
1964-65,0.213,0,0,0,0,0.64,0,19.375,24.9,0,0,105.8125
1965-66,0.275,0,0,0,0,0.664,0,19.6125,25.15,0,0,110.3375
1966-67,0.247,0,0,0,0,0.68,0,18.08641975308642,23.530864197530864,0,0,111.29629629629628
1967-68,0.183,0,0,0,0,0.635,0,18.621951219512194,22.57317073170732,0,0,109.53658536585364
1968-69,0.195,0,0,0,0,0.65,0,19.47560975609756,21.621951219512194,0,0,104.71951219512196
1969-70,0.329,0,0,0,0,0.732,0,20.841463414634145,22.71951219512195,0,0,111.14634146341464
1970-71,0.183,0,0,0,0,0.711,0,20.682926829268293,20.841463414634145,0,0,102.10975609756098
1971-72,0.22,0,0,0,0,0.698,0,20.57317073170732,19.951219512195124,0,0,102.03658536585364
1972-73,0.11,0,0,0,0,0.712,0,20.585365853658537,19.951219512195124,0,0,102.65853658536584
1973-74,0.305,0,0,0,0,0.745,44.52439024390244,21.26829268292683,21.29268292682927,6.7560975609756095,2.682926829268293,100.2560975609756
1974-75,0.28,0,0,0,0,0.728,42.89024390243903,20.42682926829268,22.75609756097561,7.024390243902439,2.768292682926829,98.10975609756098
1975-76,0.293,0,0,0,0,0.711,44.707317073170735,20.21951219512195,22.817073170731707,6.841463414634147,3.109756097560976,95.89024390243902
1976-77,0.268,0,0,0,0,0.69,43.31707317073171,17.341463414634145,22.463414634146343,6.170731707317073,3.207317073170732,95.91463414634148
1977-78,0.293,0,0,0,0,0.711,42.91463414634146,21.21951219512195,22.341463414634145,7.841463414634147,3.597560975609756,103.73170731707316
1978-79,0.317,0,0,0,0,0.7,42.21951219512195,18.76829268292683,21.98780487804878,7.024390243902439,3.451219512195122,104.73170731707316
1979-80,0.195,0,0,0,0,0.736,40.5609756097561,20.585365853658537,21.75609756097561,6.463414634146342,3.5121951219512195,102.36585365853658
1980-81,0.183,0,0,0,0,0.714,40.073170731707314,22.182926829268293,23.10975609756097,6.841463414634147,2.609756097560976,99.6829268292683
1981-82,0.183,0,0,0,0,0.717,40.573170731707314,22.134146341463413,22.817073170731707,6.902439024390244,3.6463414634146334,100.98780487804878
1982-83,0.171,82.84146341463415,0.448,1.170731707317073,0.104,0.705,40.76829268292683,21.195121951219512,23.54878048780488,6.7317073170731705,3.5365853658536586,97.1219512195122
1983-84,0.317,83.03658536585365,0.465,1.2926829268292683,0.171,0.7,40.46341463414634,22.28048780487805,22.97560975609756,6.780487804878049,3.902439024390244,101.47560975609755
1984-85,0.268,84.2560975609756,0.463,1.8902439024390243,0.18,0.699,39.24390243902439,21.451219512195124,21.71951219512195,6.512195121951219,3.256097560975609,102.14634146341464
1985-86,0.28,85.28048780487805,0.46,1.6341463414634143,0.161,0.686,39.64634146341464,21.317073170731707,21.134146341463413,7.341463414634147,3.609756097560976,98.70731707317071
1986-87,0.146,82.82926829268293,0.452,2.0609756097560976,0.197,0.697,39.8780487804878,21.341463414634145,20.853658536585368,6.2560975609756095,3.792682926829268,103.7560975609756
1987-88,0.207,82.3780487804878,0.443,1.6829268292682926,0.21,0.713,40.29268292682927,21.890243902439025,20.914634146341463,7.097560975609756,3.451219512195122,98.8170731707317
1988-89,0.183,80.42682926829268,0.453,2.8536585365853657,0.214,0.698,40.707317073170735,21.865853658536587,19.414634146341463,6.365853658536586,3.2195121951219514,97.7560975609756
1989-90,0.207,80.40243902439025,0.426,2.402439024390244,0.188,0.687,38.69512195121951,17.98780487804878,20.317073170731707,6.243902439024391,3.1951219512195124,95.15853658536584
1990-91,0.244,79.71951219512195,0.44,3.463414634146341,0.194,0.702,39.35365853658536,21.73170731707317,18.585365853658537,5.939024390243903,3.707317073170732,96.6829268292683
1991-92,0.183,82.45121951219512,0.439,4.378048780487805,0.267,0.72,40.670731707317074,18.9390243902439,18.817073170731707,6.536585365853658,3.768292682926829,97.64634146341464
1992-93,0.134,79.6219512195122,0.435,4.670731707317073,0.271,0.705,38.34146341463415,20.52439024390244,19.26829268292683,6.609756097560975,3.0365853658536586,98.1219512195122
1993-94,0.159,79.46341463414635,0.432,5.817073170731708,0.285,0.664,39.75609756097561,19.865853658536587,18.146341463414632,6.841463414634147,3.6463414634146334,95.13414634146342
1994-95,0.207,75.84146341463415,0.436,9.768292682926829,0.313,0.669,36.25609756097561,19.09756097560976,20.54878048780488,6.634146341463414,3.634146341463415,90.45121951219512
1995-96,0.183,73.14634146341463,0.42,9.097560975609756,0.326,0.662,35.63414634146341,19.621951219512194,20.54878048780488,6.170731707317073,3.3780487804878048,89.78048780487805
1996-97,0.171,72.9390243902439,0.422,11.0,0.319,0.692,37.46341463414634,18.951219512195124,19.402439024390244,6.134146341463414,3.451219512195122,87.5609756097561
1997-98,0.134,74.54878048780488,0.413,8.170731707317072,0.272,0.679,38.48780487804878,18.695121951219512,19.71951219512195,6.2926829268292686,3.3902439024390243,88.2560975609756
1998-99,0.16,71.22,0.401,7.42,0.264,0.676,35.76,15.64,18.7,6.32,3.38,81.9
1999-00,0.183,75.36585365853658,0.415,7.841463414634147,0.317,0.695,40.52439024390244,18.036585365853657,20.28048780487805,6.097560975609756,3.3292682926829267,84.78048780487805
2000-01,0.183,75.58536585365853,0.409,8.036585365853659,0.293,0.683,38.85365853658536,18.536585365853657,18.914634146341463,5.975609756097561,3.707317073170732,87.57317073170732
2001-02,0.256,76.82926829268293,0.424,8.71951219512195,0.299,0.699,38.73170731707317,18.07317073170732,18.0,6.219512195121951,3.5121951219512195,87.1951219512195
2002-03,0.207,75.47560975609755,0.411,7.817073170731708,0.278,0.699,39.24390243902439,18.304878048780488,19.536585365853657,6.743902439024391,3.109756097560976,84.15853658536585
2003-04,0.256,75.26829268292683,0.414,9.585365853658535,0.314,0.681,39.329268292682926,18.74390243902439,18.951219512195124,6.670731707317073,3.7560975609756095,85.4390243902439
2004-05,0.159,75.23170731707317,0.415,8.158536585365853,0.312,0.672,38.95121951219512,18.134146341463413,19.0609756097561,5.609756097560975,3.1707317073170733,88.4390243902439
2005-06,0.256,74.6951219512195,0.433,9.707317073170731,0.325,0.689,37.670731707317074,17.902439024390244,18.451219512195124,6.195121951219512,3.292682926829268,88.84146341463415
2006-07,0.268,74.26829268292683,0.438,10.03658536585366,0.329,0.69,38.9390243902439,18.451219512195124,19.365853658536587,6.085365853658536,2.731707317073171,93.65853658536584
2007-08,0.183,76.65853658536585,0.435,11.451219512195122,0.317,0.706,37.6219512195122,18.65853658536585,18.670731707317078,5.548780487804878,2.597560975609756,91.35365853658536
2008-09,0.207,76.8170731707317,0.441,11.573170731707316,0.318,0.715,38.829268292682926,17.353658536585368,18.853658536585368,5.780487804878049,2.4878048780487805,93.6219512195122
2009-10,0.146,76.7560975609756,0.429,12.439024390243905,0.314,0.72,38.41463414634146,18.78048780487805,19.0609756097561,5.719512195121951,3.658536585365854,92.3780487804878
2010-11,0.207,75.84146341463415,0.43,11.292682926829269,0.316,0.692,38.6219512195122,18.841463414634145,18.951219512195124,5.585365853658536,4.0,91.8780487804878
2011-12,0.106,77.06060606060606,0.414,11.772727272727272,0.295,0.66,38.78787878787879,18.545454545454547,16.803030303030305,5.909090909090909,3.939393939393939,86.95454545454545
2012-13,0.244,77.41463414634147,0.425,13.5,0.305,0.692,38.609756097560975,19.25609756097561,17.402439024390244,6.341463414634147,3.5853658536585367,93.17073170731707
2013-14,0.183,76.48780487804878,0.432,13.98780487804878,0.312,0.67,36.8780487804878,18.865853658536587,18.20731707317073,5.536585365853658,3.6219512195121952,93.65853658536584
2014-15,0.195,77.1951219512195,0.408,14.914634146341465,0.318,0.676,39.1219512195122,19.82926829268293,17.76829268292683,6.085365853658536,3.5853658536585367,91.89024390243902
2015-16,0.122,80.40243902439025,0.414,15.573170731707316,0.317,0.668,41.24390243902439,18.02439024390244,17.475609756097562,5.695121951219512,3.707317073170732,97.34146341463416
2016-17,0.244,79.45121951219512,0.435,21.01219512195122,0.327,0.706,38.573170731707314,18.5,16.585365853658537,6.573170731707317,3.7439024390243913,97.91463414634148
2017-18,0.256,82.78048780487805,0.435,22.5,0.334,0.714,39.84146341463415,19.5,17.170731707317074,6.243902439024391,3.524390243902439,98.82926829268293
2018-19,0.207,84.4390243902439,0.433,25.25609756097561,0.329,0.695,40.3780487804878,20.07317073170732,18.134146341463413,6.109756097560975,2.3780487804878048,103.53658536585364
2019-20,0.231,84.38356164383562,0.434,28.02739726027397,0.333,0.694,41.71212121212121,20.60810810810811,18.27692307692308,6.083333333333333,3.246153846153846,102.87692307692308
2020-21,0.236,83.73611111111111,0.429,28.416666666666668,0.336,0.725,41.40277777777778,21.26388888888889,17.180555555555557,6.25,3.9722222222222223,103.83333333333331
2021-22,0.244,84.53658536585365,0.43,28.82926829268293,0.323,0.713,42.02439024390244,21.865853658536587,17.475609756097562,6.365853658536586,3.231707317073171,103.73170731707316
2022-23,0.207,83.78048780487805,0.454,28.865853658536587,0.327,0.733,38.79268292682927,22.37804878048781,17.878048780487806,6.097560975609756,2.963414634146341,109.47560975609755
2023-24,0.143,82.4,0.399,28.6,0.295,0.697,39.0,19.857142857142858,16.4,5.666666666666667,2.333333333333333,103.33333333333331
