Team,FirstSeasonYear,Color1,Color2
Atlanta Hawks,1949,#C8102E,#FDB927
Boston Celtics,1946,#007A33,#BA9653
Brooklyn Nets,1976,#000000,#FFFFFF
Charlotte Hornets,1988,#1D1160,#00788C
Chicago Bulls,1966,#CE1141,#000000
Cleveland Cavaliers,1970,#860038,#041E42
Dallas Mavericks,1980,#00538C,#002B5E
Denver Nuggets,1976,#FEC524,#0E2240
Detroit Pistons,1948,#C8102E,#1D42BA
Golden State Warriors,1946,#1D428A,#FFC72C
Houston Rockets,1967,#CE1141,#000000
Indiana Pacers,1976,#002D62,#FDBB30
LA Clippers,1970,#C8102E,#1D428A
Los Angeles Lakers,1948,#555258,#FDB927
Memphis Grizzlies,1995,#5D76A9,#12173F
Miami Heat,1988,#98002E,#F9A01B
Milwaukee Bucks,1968,#00471B,#EEE1C6
Minnesota Timberwolves,1989,#0C2340,#236192
New Orleans Pelicans,2002,#85714D,#C8102E
New York Knicks,1946,#006BB6,#F58426
Oklahoma City Thunder,1967,#007AC1,#EF3B24
Orlando Magic,1989,#0077C0,#C4CED4
Philadelphia 76ers,1949,#006BB6,#ED174C
Phoenix Suns,1968,#1D1160,#E56020
Portland Trail Blazers,1970,#E03A3E,#000000
Sacramento Kings,1948,#5A2D81,#63727A
San Antonio Spurs,1976,#C4CED4,#000000
Toronto Raptors,1995,#CE1141,#000000
Utah Jazz,1974,#002B5C,#00471B
Washington Wizards,1961,#002B5C,#E31837